Sam_10514_Sam_M_rep2_01	0.36714	1.27375	0.34782	1.15458	0.26408	1.09661	0.36392	0.93719	0.42350	0.97584	0.52817	1.09983	0.66344	1.24154	0.78260	1.00966	0.75362	0.94846	1.07729	0.77938	1.00482	0.62801	1.85345	1.11271	2.14975	0.72946	2.01932	0.50885	1.19967	0.33172	
Sam_10514_Sam_M_rep2_03	0.32206	1.26086	0.30917	1.13848	0.22544	1.07246	0.34460	0.91787	0.39613	0.95974	0.48631	1.09822	0.61835	1.24959	0.75040	1.01932	0.72946	0.95168	1.07407	0.78260	0.98872	0.62801	1.82447	1.14492	2.13365	0.75684	1.99194	0.52334	1.19162	0.33655	
Sam_10514_Sam_M_rep2_04	0.38647	1.28180	0.36553	1.16424	0.28019	1.09661	0.38808	0.93719	0.44122	0.97584	0.54750	1.10788	0.68276	1.25281	0.80193	1.00966	0.77133	0.94524	1.09339	0.76972	1.00643	0.62479	1.84218	1.09822	2.13687	0.69726	2.00160	0.47342	1.19323	0.32206	
Sam_10514_Sam_M_rep2_05	0.32367	1.23510	0.30273	1.12077	0.22705	1.05313	0.35104	0.90338	0.40418	0.94685	0.49114	1.07890	0.61352	1.22866	0.75845	1.00160	0.73590	0.93397	1.06924	0.78260	0.99516	0.63123	1.80354	1.17874	2.13848	0.80032	2.02576	0.57648	1.19484	0.34299	
Sam_10514_Sam_M_rep2_06	0.36553	1.25442	0.35426	1.13043	0.26570	1.07890	0.37842	0.92431	0.43961	0.96296	0.53945	1.08373	0.67471	1.22866	0.78421	0.99677	0.76006	0.93236	1.07729	0.76328	0.99355	0.62318	1.85507	1.09500	2.14653	0.70531	2.02254	0.48470	1.19323	0.31400	
Sam_10514_Sam_M_rep2_07	0.31884	1.24315	0.31078	1.11916	0.23027	1.05313	0.34943	0.89854	0.40418	0.94524	0.50402	1.08051	0.62479	1.23993	0.75845	1.00482	0.73268	0.93719	1.07085	0.78421	1.00321	0.62479	1.82769	1.17552	2.14170	0.78582	2.03220	0.56682	1.22544	0.33172	
Sam_10514_Sam_M_rep2_08	0.32528	1.24798	0.31239	1.12882	0.22222	1.05796	0.35104	0.90338	0.40257	0.94524	0.50563	1.08051	0.62801	1.23671	0.75684	0.99838	0.73429	0.93397	1.06441	0.77133	0.99999	0.61835	1.81320	1.14009	2.12882	0.76972	2.02093	0.53462	1.19806	0.32367	
Sam_10514_Sam_M_rep2_09	0.29951	1.20611	0.28663	1.08534	0.20772	1.01127	0.33655	0.87278	0.38647	0.91143	0.48309	1.04508	0.59420	1.19645	0.73268	0.97745	0.71819	0.90821	1.04508	0.76328	0.98067	0.61835	1.76972	1.16102	2.12238	0.77938	2.00321	0.54428	1.18679	0.33172	
Sam_10514_Sam_M_rep2_10	0.32206	1.24798	0.31561	1.12560	0.22866	1.05313	0.35104	0.89854	0.39935	0.94202	0.49114	1.08212	0.63284	1.23832	0.76006	1.00482	0.73912	0.93558	1.08856	0.78260	1.00482	0.62318	1.84057	1.17069	2.16102	0.79871	2.04508	0.55716	1.21900	0.33172	
Sam_10514_Sam_M_rep2_12	0.33333	1.26247	0.31400	1.14170	0.23027	1.07407	0.34943	0.91465	0.40901	0.95491	0.50724	1.09017	0.64090	1.24637	0.77294	1.00321	0.74396	0.93558	1.07890	0.76489	1.00160	0.61191	1.85023	1.13043	2.15941	0.73912	2.03703	0.50724	1.20128	0.31239	
